RIVER_SECTION_ID_AAWA,Name,RS_ID_SensorThingServer,RS_Critical,RS_Group,RS_GroupName,RS_GroupDescr
491,BACCHIGLIONE  m.   33391.50,598,0,5,Ponte Degli Angeli,in BACCHIGLIONE from Ponte di Via Diaz bridge to Ponte degli Angeli Bridge/  Bacchiglione dal ponte di via Diaz a Ponte degli Angeli
492,BACCHIGLIONE  m.  33471.27,599,0,5,Ponte Degli Angeli,in BACCHIGLIONE from Ponte di Via Diaz bridge to Ponte degli Angeli Bridge/  Bacchiglione dal ponte di via Diaz a Ponte degli Angeli
493,BACCHIGLIONE  m.  33786.11,600,0,5,Ponte Degli Angeli,in BACCHIGLIONE from Ponte di Via Diaz bridge to Ponte degli Angeli Bridge/  Bacchiglione dal ponte di via Diaz a Ponte degli Angeli
494,BACCHIGLIONE  m.  33945.23,601,0,5,Ponte Degli Angeli,in BACCHIGLIONE from Ponte di Via Diaz bridge to Ponte degli Angeli Bridge/  Bacchiglione dal ponte di via Diaz a Ponte degli Angeli
495,Bacchiglione a Ponte Degli Angeli,602,1,5,Ponte Degli Angeli,in BACCHIGLIONE from Ponte di Via Diaz bridge to Ponte degli Angeli Bridge/  Bacchiglione dal ponte di via Diaz a Ponte degli Angeli
499,BACCHIGLIONE  m. 34390.94,603,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
500,BACCHIGLIONE  m.  34452.63,604,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
501,BACCHIGLIONE  m.   34605.95,605,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
503,BACCHIGLIONE  m.   34939.40,606,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
505,BACCHIGLIONE  m.   35203.25,607,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
508,BACCHIGLIONE  m.   35640.34,608,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
511,BACCHIGLIONE  m.  35929.63,609,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
512,BACCHIGLIONE  m.   36346.16,610,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
513,BACCHIGLIONE  m.   37404.59,611,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
514,BACCHIGLIONE  m.   38897.86,612,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
515,BACCHIGLIONE  m.   39606.67,613,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
719,BACCHIGLIONE  m.  39746.00 ponte A4,692,1,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
517,BACCHIGLIONE  m.   41196.36,614,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
518,BACCHIGLIONE  m.   42424.28,615,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
520,BACCHIGLIONE  m.  43855.07,616,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
521,BACCHIGLIONE  m.   44100.64 briglia Debba,617,0,6,Ponte A4,in BACCHIGLIONE river (River ID 6) from Ponte degli Angeli Bridge to downstream /Bacchiglione dal ponte da Ponte degli Angeli a valle
